analysisPlanSort	analysisPlanId	description	NAME1	STAT1
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/LAG3_OR_TIM3:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/LAG3_OR_TIM3:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/N:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/N:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/PD1+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/PD1+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/Perf+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/Perf+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/TD:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/TD:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/TNFa+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4+/TNFa+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/154+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/154+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/25+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/25+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/25+127lo:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/25+127lo:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/4+45RA+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/4+45RA+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/4+CCR7+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/4+CCR7+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/69+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/69+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CCR5+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CCR5+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CM:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CM:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CTLA4+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CTLA4+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CXCR5+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CXCR5+:Count
AP-048	48	28-color ICS for HVTN 119	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CXCR5+PD1+:Count	Time/S/K1/K2/K3/K4/K5/K6/Lv/14-/S/L/DR-/3+/3+excl16br/16-56-/4-8-/CXCR5+PD1+:Count
